reg_id	date	day	initI	initH	obs_id	obs	isolation	popsize	ascertainement	IDname	timesinceconf
REG-24	2020-04-07	28	18	0	2	28	1	2559073	0.0282740007711091	Centre	21
REG-24	2020-04-08	29	18	0	2	29	1	2559073	0.0282740007711091	Centre	22
REG-24	2020-04-09	30	18	0	2	29	1	2559073	0.0282740007711091	Centre	23
REG-24	2020-04-10	31	18	0	2	18	1	2559073	0.0282740007711091	Centre	24
REG-24	2020-04-11	32	18	0	2	23	1	2559073	0.0282740007711091	Centre	25
REG-24	2020-04-12	33	18	0	2	25	1	2559073	0.0282740007711091	Centre	26
REG-24	2020-04-13	34	18	0	2	12	1	2559073	0.0282740007711091	Centre	27
REG-24	2020-04-14	35	18	0	2	19	1	2559073	0.0282740007711091	Centre	28
REG-24	2020-04-15	36	18	0	2	15	1	2559073	0.0282740007711091	Centre	29
REG-24	2020-04-16	37	18	0	2	12	1	2559073	0.0282740007711091	Centre	30
REG-24	2020-04-17	38	18	0	2	17	1	2559073	0.0282740007711091	Centre	31
REG-24	2020-04-18	39	18	0	2	15	1	2559073	0.0282740007711091	Centre	32
REG-24	2020-04-19	40	18	0	2	11	1	2559073	0.0282740007711091	Centre	33
REG-24	2020-04-20	41	18	0	2	16	1	2559073	0.0282740007711091	Centre	34
REG-27	2020-03-02	0	8	0	1	4	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-03	1	8	0	1	5	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-04	2	8	0	1	3	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-05	3	8	0	1	23	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-06	4	8	0	1	39	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-07	5	8	0	1	51	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-08	6	8	0	1	0	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-09	7	8	0	1	0	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-10	8	8	0	1	17	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-11	9	8	0	1	9	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-12	10	8	0	1	64	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-13	11	8	0	1	53	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-14	12	8	0	1	67	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-15	13	8	0	1	73	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-16	14	8	0	1	95	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-17	15	8	0	1	42	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-18	16	8	0	1	44	1	2783039	0.0700759308388985	BFC	1
REG-27	2020-03-19	17	8	0	1	103	1	2783039	0.0700759308388985	BFC	2
REG-27	2020-03-20	18	8	0	1	74	1	2783039	0.0700759308388985	BFC	3
REG-27	2020-03-21	19	8	0	1	133	1	2783039	0.0700759308388985	BFC	4
REG-27	2020-03-22	20	8	0	1	275	1	2783039	0.0700759308388985	BFC	5
REG-27	2020-03-23	21	8	0	1	169	1	2783039	0.0700759308388985	BFC	6
REG-27	2020-03-24	22	8	0	1	163	1	2783039	0.0700759308388985	BFC	7
REG-27	2020-03-03	1	8	0	2	10	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-04	2	8	0	2	10	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-05	3	8	0	2	12	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-06	4	8	0	2	13	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-07	5	8	0	2	15	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-08	6	8	0	2	20	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-09	7	8	0	2	13	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-10	8	8	0	2	28	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-11	9	8	0	2	16	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-12	10	8	0	2	34	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-13	11	8	0	2	44	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-14	12	8	0	2	29	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-15	13	8	0	2	28	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-16	14	8	0	2	38	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-17	15	8	0	2	54	0	2783039	0.0700759308388985	BFC	0
REG-27	2020-03-18	16	8	0	2	65	1	2783039	0.0700759308388985	BFC	1
REG-27	2020-03-19	17	8	0	2	66	1	2783039	0.0700759308388985	BFC	2
REG-27	2020-03-20	18	8	0	2	97	1	2783039	0.0700759308388985	BFC	3
REG-27	2020-03-21	19	8	0	2	69	1	2783039	0.0700759308388985	BFC	4
